RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,Season
70,Erica WheelerLA,G,14,28.3,7.6,2.6,8.1,32.5,1.1,4.2,25.4,1.2,1.5,81.0,1.9,4.6,1.2,0.1,2.2,0,0,2026
72,Olivia Nelson-OdodaCON,C,11,17.9,7.5,2.6,4.2,63.0,0.0,0.0,0.0,2.3,3.5,65.8,4.5,1.8,0.6,0.5,1.1,0,0,2026
73,Cecilia ZandalasiniGS,F,10,16.9,7.4,2.6,7.1,36.6,1.2,3.9,30.8,1.0,1.4,71.4,1.7,1.6,1.2,0.1,1.4,0,0,2026
74,Kennedy BurkeCON,G,14,23.4,7.1,2.4,7.1,34.3,0.7,3.1,22.7,1.6,2.2,71.0,3.7,1.7,1.1,0.8,2.1,0,0,2026
75,Maria CondeTOR,F,14,22.6,7.0,2.4,7.1,33.3,1.3,3.7,34.6,1.0,1.3,77.8,4.1,1.6,0.3,0.1,1.3,0,0,2026
76,Lauren BettsWSH,C,12,15.2,6.7,2.8,4.8,56.9,0.0,0.0,0.0,1.2,1.5,77.8,3.1,0.5,0.3,0.3,0.6,0,0,2026
77,Cotie McMahonWSH,G,10,18.5,6.6,2.3,5.8,39.7,0.6,1.9,31.6,1.4,2.2,63.6,2.4,1.6,0.7,0.2,1.1,0,0,2026
78,Betnijah Laney-HamiltonNY,G,11,17.7,6.5,1.9,4.6,41.2,0.7,2.5,29.6,1.9,2.4,80.8,1.9,1.8,0.5,0.2,1.5,0,0,2026
79,Maddy SiegristDAL,F,14,15.3,6.4,2.6,5.9,45.1,0.8,1.8,44.0,0.4,0.4,100.0,3.3,0.9,0.6,0.4,0.4,0,0,2026
80,Rebekah GardnerNY,G,14,16.8,6.1,2.2,3.9,56.4,0.4,1.1,37.5,1.3,1.4,90.0,2.2,1.4,0.5,0.1,1.0,0,0,2026
81,Awak KuierDAL,F,11,16.1,6.1,2.1,3.9,53.5,0.7,1.6,44.4,1.2,1.6,72.2,3.3,1.0,0.8,1.1,1.1,0,0,2026
82,Kaila CharlesGS,G,14,19.6,6.1,2.3,5.8,39.5,0.8,2.6,29.7,0.7,1.0,71.4,5.1,1.3,0.5,0.3,1.0,0,0,2026
83,Odyssey SimsDAL,G,10,17.0,6.0,2.3,4.8,47.9,0.5,1.2,41.7,0.9,1.2,75.0,0.9,2.7,0.8,0.0,1.5,0,0,2026
85,Lexie HullIND,G,13,21.0,5.9,1.8,4.6,38.3,1.0,2.8,36.1,1.4,1.8,78.3,4.2,0.8,0.6,0.2,0.9,0,0,2026
86,Elizabeth WilliamsCHI,C,13,19.1,5.6,2.2,5.2,41.2,0.0,0.0,0.0,1.3,3.4,38.6,4.4,1.5,0.7,1.2,0.8,0,0,2026
87,Monique BillingsIND,F,12,20.3,5.6,1.9,4.5,42.6,0.3,0.9,27.3,1.5,2.1,72.0,5.0,1.1,0.8,0.8,0.7,0,0,2026
88,Noemie BrochantPHX,F,15,21.2,5.5,2.1,5.0,42.7,1.0,2.5,39.5,0.3,0.3,80.0,2.4,1.1,0.8,0.4,0.9,0,0,2026
89,Han XuNY,C,14,13.0,5.5,2.1,4.2,50.8,0.7,1.7,41.7,0.5,0.6,77.8,2.4,0.9,0.4,0.4,0.4,0,0,2026
