Player,2022 Salary,2022 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Isabelle Harrison  I Harrison,"$159,000",--,35,18,18.4,8.7,3.3,7.1,46.6%,3.3,7.1,46.2%,0.1,0.1,100.0%,2.1,2.4,86.7%,1.4,2.9,4.3,1.3,1.3,0.7,0.1,2.1
Shakira Austin  S Austin,"$72,141",Rookie,36,32,21.6,8.7,3.4,6.2,54.7%,3.4,6.2,55.0%,0.0,0.0,0.0%,1.9,3.0,62.4%,1.8,4.7,6.4,0.9,1.5,0.8,0.8,2.3
Han Xu  H Xu,"$60,471",Rookie,32,0,16.8,8.5,3.4,6.9,49.3%,2.9,5.8,50.3%,0.5,1.1,44.4%,1.2,1.5,79.6%,1.2,2.4,3.6,0.9,0.7,0.5,0.7,1.0
Rebekah Gardner  R Gardner,"$60,471",UFA,35,2,21.7,8.4,3.3,6.1,54.2%,2.9,4.9,58.7%,0.4,1.2,35.7%,1.4,1.7,80.0%,1.3,2.0,3.3,1.3,1.6,1.4,0.5,2.3
Erica Wheeler  E Wheeler,"$185,400",--,30,30,26.3,8.4,3.3,9.2,35.5%,2.5,6.8,36.5%,0.8,2.4,32.9%,1.0,1.4,75.6%,0.6,2.5,3.1,3.9,2.5,1.1,0.1,2.5
Jessica Shepard  J Shepard,"$60,471",--,36,22,26.1,8.1,3.0,6.0,50.0%,2.8,5.3,53.1%,0.2,0.7,25.0%,1.9,2.6,73.4%,2.0,5.4,7.4,3.0,1.7,0.4,0.3,2.1
Stefanie Dolson  S Dolson,"$160,000",UFA,36,36,23.0,8.1,3.1,6.4,49.3%,2.4,4.5,53.4%,0.7,1.8,39.4%,1.1,1.2,90.5%,1.2,3.6,4.8,1.8,1.6,0.4,0.8,3.1
Alysha Clark  A Clark,"$183,000",UFA,29,29,26.4,8.0,3.1,6.8,46.4%,2.1,3.3,62.9%,1.0,3.4,30.3%,0.7,0.8,91.3%,0.8,3.7,4.5,2.0,1.3,1.0,0.3,1.9
Kayla Thornton  K Thornton,"$107,040",--,36,35,29.2,8.0,2.7,5.8,46.9%,2.0,3.6,55.4%,0.7,2.1,32.5%,1.9,2.3,82.9%,1.8,4.1,5.9,1.8,1.2,1.1,0.6,2.7
Rachel Banham  R Banham,"$72,141",UFA,36,5,17.5,7.9,2.8,6.5,43.0%,1.2,2.4,51.2%,1.6,4.1,38.3%,0.7,0.8,80.0%,0.1,1.3,1.3,2.3,1.3,0.3,0.1,1.7
Sue Bird  S Bird,"$72,141",UFA,31,31,26.4,7.8,2.7,6.8,40.3%,0.9,2.2,43.3%,1.8,4.6,38.9%,0.5,0.5,100.0%,0.2,1.7,1.9,6.0,1.9,1.2,0.1,0.7
Gabby Williams  G Williams,"$144,000",--,36,36,25.6,7.5,3.0,6.8,44.4%,2.5,4.8,52.0%,0.5,1.9,25.7%,1.0,1.3,77.8%,1.2,3.8,5.0,3.1,1.4,1.5,0.4,1.6
Danielle Robinson  D Robinson,"$155,000",UFA,31,30,23.6,7.4,2.7,6.5,41.9%,2.5,5.3,46.6%,0.3,1.3,22.5%,1.6,1.9,85.0%,0.4,2.5,2.9,3.8,1.6,0.7,0.2,1.4
Napheesa Collier  N Collier,"$72,141",--,4,4,22.7,7.3,2.8,6.5,42.3%,2.3,4.8,47.4%,0.5,1.8,28.6%,1.3,1.8,71.4%,0.5,2.5,3.0,1.0,0.3,0.5,0.3,2.3
Lexie Brown  L Brown,"$72,141",RFA,34,16,25.0,7.1,2.7,6.2,44.1%,1.2,2.3,51.3%,1.6,3.9,39.8%,0.1,0.2,66.7%,0.2,2.1,2.3,2.1,0.8,1.0,0.2,1.3
Queen Egbo  Q Egbo,"$66,306",Rookie,34,31,21.2,7.0,2.8,6.3,44.2%,2.8,6.3,44.2%,0.0,0.0,--,1.4,2.2,64.5%,1.8,4.4,6.1,0.9,1.9,0.9,1.2,2.9
Chiney Ogwumike  C Ogwumike,"$116,390",SuspCE,26,7,18.4,7.0,2.7,5.7,46.6%,2.3,5.0,46.9%,0.3,0.7,44.4%,1.4,2.0,70.6%,2.0,3.5,5.5,1.1,1.4,0.7,0.3,2.7
Rebecca Allen  R Allen,"$141,000",UFA,25,19,20.9,7.0,2.6,6.8,37.9%,1.5,3.4,44.2%,1.0,3.3,31.3%,0.8,1.0,83.3%,0.3,3.0,3.4,1.2,1.0,0.8,1.0,1.9
Asia (AD) Durr  A Durr,"$68,260",--,25,2,14.7,7.0,2.4,6.1,39.5%,1.5,3.8,38.9%,0.9,2.3,40.4%,1.2,1.6,79.5%,0.3,0.9,1.2,1.2,0.9,0.4,0.2,1.3
Shatori Walker-Kimbrough  S Walker-Kimbrough,"$72,141",UFA,35,3,20.1,6.9,2.3,5.7,40.2%,1.5,3.5,43.5%,0.7,2.1,34.7%,1.6,1.7,90.2%,0.3,1.5,1.8,1.5,1.1,1.1,0.3,1.2
Odyssey Sims  O Sims,"$3,750",Hardship,7,0,20.8,6.9,2.4,7.6,32.1%,1.9,5.4,34.2%,0.6,2.1,26.7%,1.4,2.1,66.7%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Odyssey Sims  O Sims,"$2,678",Hardship,7,0,20.8,6.9,2.4,7.6,32.1%,1.9,5.4,34.2%,0.6,2.1,26.7%,1.4,2.1,66.7%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Odyssey Sims  O Sims,"$6,428",UFA,7,0,20.8,6.9,2.4,7.6,32.1%,1.9,5.4,34.2%,0.6,2.1,26.7%,1.4,2.1,66.7%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Emma Cannon  E Cannon,"$50,713",UFA,24,2,14.0,6.8,2.5,4.8,52.6%,2.1,4.0,53.1%,0.4,0.8,50.0%,1.5,2.0,72.9%,0.9,2.2,3.1,0.5,0.7,0.6,0.1,2.0
Emma Cannon  E Cannon,"$2,143",Hardship,24,2,14.0,6.8,2.5,4.8,52.6%,2.1,4.0,53.1%,0.4,0.8,50.0%,1.5,2.0,72.9%,0.9,2.2,3.1,0.5,0.7,0.6,0.1,2.0
