year,team,conference,elo,week
2012,Rutgers,Big East,1583,5
2012,San Diego State,Mountain West,1529,5
2012,San José State,Western Athletic,1398,5
2012,SMU,Conference USA,1339,5
2012,South Alabama,Sun Belt,1323,5
2012,South Carolina,SEC,1880,5
2012,Southern Miss,Conference USA,1497,5
2012,South Florida,Big East,1534,5
2012,Stanford,Pac-12,1901,5
2012,Syracuse,Big East,1439,5
2012,TCU,Big 12,1755,5
2012,Temple,Big East,1584,5
2012,Tennessee,SEC,1601,5
2012,Texas,Big 12,1784,5
2012,Texas A&M,SEC,1924,5
2012,Texas State,Western Athletic,1260,5
2012,Texas Tech,Big 12,1591,5
2012,Toledo,Mid-American,1600,5
2012,Troy,Sun Belt,1376,5
2012,Tulane,Conference USA,907,5
2012,Tulsa,Conference USA,1618,5
2012,UAB,Conference USA,1175,5
2012,UCF,Conference USA,1593,5
2012,UCLA,Pac-12,1602,5
2012,UConn,Big East,1565,5
2012,UL Monroe,Sun Belt,1540,5
2012,UNLV,Mountain West,1155,5
2012,USC,Pac-12,1832,5
2012,Utah,Pac-12,1498,5
2012,Utah State,Western Athletic,1480,5
2012,UTEP,Conference USA,1353,5
2012,UTSA,Western Athletic,1544,5
2012,Vanderbilt,SEC,1456,5
2012,Virginia,ACC,1357,5
2012,Virginia Tech,ACC,1678,5
2012,Wake Forest,ACC,1318,5
2012,Washington,Pac-12,1486,5
2012,Washington State,Pac-12,1360,5
2012,Western Kentucky,Sun Belt,1511,5
2012,Western Michigan,Mid-American,1441,5
2012,West Virginia,Big 12,1796,5
2012,Wisconsin,Big Ten,1872,5
2012,Wyoming,Mountain West,1382,5
2012,Air Force,Mountain West,1531,6
2012,Akron,Mid-American,967,6
2012,Alabama,SEC,2136,6
2012,App State,Southern,1327,6
2012,Arizona,Pac-12,1506,6
2012,Arizona State,Pac-12,1717,6
2012,Arkansas,SEC,1553,6
2012,Arkansas State,Sun Belt,1447,6
2012,Army,FBS Independents,1282,6
2012,Auburn,SEC,1514,6
2012,Ball State,Mid-American,1306,6
2012,Baylor,Big 12,1686,6
2012,Boise State,Mountain West,1866,6
2012,Boston College,ACC,1452,6
2012,Bowling Green,Mid-American,1262,6
2012,Buffalo,Mid-American,1232,6
2012,BYU,FBS Independents,1736,6
2012,California,Pac-12,1600,6
2012,Central Michigan,Mid-American,1229,6
2012,Cincinnati,Big East,1726,6
2012,Clemson,ACC,1676,6
2012,Coastal Carolina,Big South,1314,6
2012,Colorado,Pac-12,1134,6
2012,Colorado State,Mountain West,1188,6
2012,Duke,ACC,1482,6
2012,East Carolina,Conference USA,1360,6
2012,Eastern Michigan,Mid-American,1096,6
2012,Florida,SEC,1811,6
2012,Florida Atlantic,Sun Belt,1098,6
2012,Florida International,Sun Belt,1289,6
2012,Florida State,ACC,1869,6
2012,Fresno State,Mountain West,1589,6
2012,Georgia,SEC,1826,6
2012,Georgia State,CAA,1235,6
2012,Georgia Tech,ACC,1525,6
2012,Hawai'i,Mountain West,1108,6
2012,Houston,Conference USA,1611,6
2012,Idaho,Western Athletic,1034,6
2012,Illinois,Big Ten,1363,6
2012,Indiana,Big Ten,1375,6
2012,Iowa,Big Ten,1590,6
2012,Iowa State,Big 12,1582,6
2012,James Madison,CAA,1387,6
2012,Kansas,Big 12,1188,6
2012,Kansas State,Big 12,1795,6
2012,Kent State,Mid-American,1363,6
2012,Kentucky,SEC,1370,6
2012,Liberty,Big South,1450,6
2012,Louisiana,Sun Belt,1453,6
2012,Louisiana Tech,Western Athletic,1668,6
2012,Louisville,Big East,1595,6
2012,LSU,SEC,2012,6
2012,Marshall,Conference USA,1337,6
2012,Maryland,ACC,1437,6
2012,Massachusetts,Mid-American,1062,6
2012,Memphis,Conference USA,1058,6
2012,Miami,ACC,1489,6
2012,Miami (OH),Mid-American,1248,6
2012,Michigan,Big Ten,1821,6
2012,Michigan State,Big Ten,1707,6
2012,Middle Tennessee,Sun Belt,1318,6
2012,Minnesota,Big Ten,1361,6
2012,Mississippi State,SEC,1657,6
2012,Missouri,SEC,1579,6
2012,Navy,FBS Independents,1364,6
2012,NC State,ACC,1611,6
2012,Nebraska,Big Ten,1686,6
2012,Nevada,Mountain West,1713,6
2012,New Mexico,Mountain West,1130,6
2012,New Mexico State,Western Athletic,1067,6
2012,North Carolina,ACC,1765,6
2012,Northern Illinois,Mid-American,1663,6
2012,North Texas,Sun Belt,1328,6
2012,Northwestern,Big Ten,1547,6
2012,Notre Dame,FBS Independents,1910,6
2012,Ohio,Mid-American,1505,6
2012,Ohio State,Big Ten,1826,6
2012,Oklahoma,Big 12,1839,6
2012,Oklahoma State,Big 12,1882,6
2012,Ole Miss,SEC,1446,6
2012,Oregon,Pac-12,2030,6
2012,Oregon State,Pac-12,1532,6
