season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2010,regular,3,,AP Top 25,295,Texas,Big 12,3.0,1439,1
2010,regular,3,,AP Top 25,338,Villanova,Big East,4.0,1397,0
2010,regular,3,,AP Top 25,135,Kentucky,SEC,5.0,1333,0
2010,regular,3,,AP Top 25,236,Purdue,Big Ten,6.0,1314,0
2010,regular,3,,AP Top 25,72,Duke,ACC,7.0,1163,0
2010,regular,3,,AP Top 25,347,West Virginia,Big East,8.0,1133,0
2010,regular,3,,AP Top 25,292,Tennessee,SEC,9.0,1040,0
2010,regular,3,,AP Top 25,286,Syracuse,Big East,10.0,1013,1
2010,regular,3,,AP Top 25,200,North Carolina,ACC,11.0,914,0
2010,regular,3,,AP Top 25,34,Butler,Horizon,12.0,872,0
2010,regular,3,,AP Top 25,314,UConn,Big East,13.0,850,0
2010,regular,3,,AP Top 25,343,Washington,Pac-12,14.0,844,0
2010,regular,3,,AP Top 25,170,Michigan,Big Ten,15.0,672,0
2010,regular,3,,AP Top 25,150,Louisville,Big East,16.0,486,0
2010,regular,3,,AP Top 25,216,Ohio State,Big Ten,17.0,466,0
2010,regular,3,,AP Top 25,97,Georgetown,Big East,18.0,418,0
2010,regular,3,,AP Top 25,52,Clemson,ACC,19.0,408,0
2010,regular,3,,AP Top 25,118,Illinois,Big Ten,20.0,366,0
2010,regular,3,,AP Top 25,160,Maryland,ACC,21.0,296,0
2010,regular,3,,AP Top 25,173,Minnesota,Big Ten,22.0,292,0
2010,regular,3,,AP Top 25,213,Notre Dame,Big East,23.0,117,0
2010,regular,3,,AP Top 25,336,Vanderbilt,SEC,24.0,108,0
2010,regular,3,,AP Top 25,217,Oklahoma,Big 12,25.0,107,0
2010,regular,3,,AP Top 25,102,Gonzaga,WCC,,90,0
2010,regular,3,,AP Top 25,90,Florida State,ACC,,84,0
2010,regular,3,,AP Top 25,101,Georgia Tech,ACC,,76,0
2010,regular,3,,AP Top 25,40,California,Pac-12,,72,0
2010,regular,3,,AP Top 25,359,Xavier,A-10,,67,0
2010,regular,3,,AP Top 25,220,Ole Miss,SEC,,67,0
2010,regular,3,,AP Top 25,218,Oklahoma State,Big 12,,59,0
2010,regular,3,,AP Top 25,163,Memphis,CUSA,,56,0
2010,regular,3,,AP Top 25,87,Florida,SEC,,52,0
2010,regular,3,,AP Top 25,132,Kansas State,Big 12,,49,0
2010,regular,3,,AP Top 25,342,Wake Forest,ACC,,49,0
2010,regular,3,,AP Top 25,64,Dayton,A-10,,48,0
2010,regular,3,,AP Top 25,18,BYU,Mountain West,,42,0
2010,regular,3,,AP Top 25,304,Tulsa,CUSA,,31,0
2010,regular,3,,AP Top 25,168,Miami,ACC,,24,0
2010,regular,3,,AP Top 25,293,Texas A&M,Big 12,,10,0
2010,regular,3,,AP Top 25,177,Missouri,Big 12,,8,0
2010,regular,3,,AP Top 25,174,Mississippi State,SEC,,7,0
2010,regular,3,,AP Top 25,219,Old Dominion,CAA,,7,0
2010,regular,3,,AP Top 25,219,Old Dominion,Sun Belt,,7,0
2010,regular,3,,AP Top 25,229,Pittsburgh,Big East,,6,0
2010,regular,3,,AP Top 25,322,UNLV,Mountain West,,5,0
2010,regular,3,,AP Top 25,266,South Carolina,SEC,,4,0
2010,regular,3,,AP Top 25,289,Temple,A-10,,4,0
2010,regular,3,,AP Top 25,20,Baylor,Big 12,,3,0
2010,regular,3,,AP Top 25,333,VCU,CAA,,1,0
2010,regular,3,,AP Top 25,264,Siena,MAAC,,1,0
2010,regular,3,,AP Top 25,37,Cal State Fullerton,Big West,,1,0
2010,regular,3,,AP Top 25,191,New Mexico,Mountain West,,1,0
2010,regular,3,,AP Top 25,107,Harvard,Ivy,,1,0
2010,regular,3,,AP Top 25,10,Arizona State,Pac-12,,1,0
2010,regular,3,,Coaches Poll,131,Kansas,Big 12,1.0,772,28
2010,regular,3,,Coaches Poll,169,Michigan State,Big Ten,2.0,734,2
2010,regular,3,,Coaches Poll,295,Texas,Big 12,3.0,698,0
2010,regular,3,,Coaches Poll,338,Villanova,Big East,4.0,655,0
2010,regular,3,,Coaches Poll,135,Kentucky,SEC,5.0,642,0
2010,regular,3,,Coaches Poll,236,Purdue,Big Ten,6.0,588,0
2010,regular,3,,Coaches Poll,72,Duke,ACC,7.0,587,1
2010,regular,3,,Coaches Poll,347,West Virginia,Big East,8.0,532,0
2010,regular,3,,Coaches Poll,286,Syracuse,Big East,9.0,481,0
2010,regular,3,,Coaches Poll,34,Butler,Horizon,10.0,475,0
2010,regular,3,,Coaches Poll,292,Tennessee,SEC,11.0,464,0
2010,regular,3,,Coaches Poll,200,North Carolina,ACC,12.0,447,0
2010,regular,3,,Coaches Poll,314,UConn,Big East,13.0,405,0
2010,regular,3,,Coaches Poll,343,Washington,Pac-12,14.0,383,0
2010,regular,3,,Coaches Poll,170,Michigan,Big Ten,15.0,339,0
2010,regular,3,,Coaches Poll,173,Minnesota,Big Ten,16.0,233,0
2010,regular,3,,Coaches Poll,150,Louisville,Big East,16.0,233,0
2010,regular,3,,Coaches Poll,216,Ohio State,Big Ten,18.0,219,0
2010,regular,3,,Coaches Poll,52,Clemson,ACC,19.0,205,0
2010,regular,3,,Coaches Poll,97,Georgetown,Big East,19.0,205,0
2010,regular,3,,Coaches Poll,118,Illinois,Big Ten,21.0,131,0
2010,regular,3,,Coaches Poll,160,Maryland,ACC,22.0,99,0
2010,regular,3,,Coaches Poll,40,California,Pac-12,23.0,71,0
2010,regular,3,,Coaches Poll,336,Vanderbilt,SEC,24.0,67,0
2010,regular,3,,Coaches Poll,101,Georgia Tech,ACC,25.0,56,0
2010,regular,3,,Coaches Poll,217,Oklahoma,Big 12,,53,0
