week,season,team,conference,off_plays,off_drives,off_ppa,off_totalPPA,off_successRate,off_explosiveness,off_powerSuccess,off_stuffRate,off_lineYards,off_lineYardsTotal,off_secondLevelYards,off_secondLevelYardsTotal,off_openFieldYards,off_openFieldYardsTotal,off_totalOpportunies,off_pointsPerOpportunity,off_fieldPosition,off_havoc,off_standardDowns,off_passingDowns,off_rushingPlays,off_passingPlays,def_plays,def_drives,def_ppa,def_totalPPA,def_successRate,def_explosiveness,def_powerSuccess,def_stuffRate,def_lineYards,def_lineYardsTotal,def_secondLevelYards,def_secondLevelYardsTotal,def_openFieldYards,def_openFieldYardsTotal,def_totalOpportunies,def_pointsPerOpportunity,def_fieldPosition,def_havoc,def_standardDowns,def_passingDowns,def_rushingPlays,def_passingPlays
1,2026,Sacramento State,Mid-American,64,13,-0.07672478574749307,-4.9103862878395566,0.34375,1.032446670964897,0.6666666666666666,0.4375,0.6125,10,0.875,14,1.8125,29,4,2.5,,,,,,,70,14,0.05535149926229747,3.8746049483608225,0.4142857142857143,1.2595736989694382,0.75,0.20689655172413793,2.627586206896552,76,0.6896551724137931,20,0.9310344827586207,0,8,3.5,,,,,,
1,2026,San José State,Mountain West,57,10,0.21639919689445156,12.334754222983738,0.43859649122807015,1.221946227557394,0.0,0.21739130434782608,2.6956521739130435,62,1.2608695652173914,29,0.9565217391304348,22,5,4.8,,,,,,,77,10,0.39064467803001723,30.07964020831133,0.6623376623376623,0.8805544125995661,0.9,0.10526315789473684,3.6973684210526314,141,1.2894736842105263,49,0.18421052631578946,0,9,4.666666666666667,,,,,,
1,2026,Stanford,ACC,73,13,0.3263404896512631,23.82285574454221,0.4520547945205479,1.2060565569259865,0.8333333333333334,0.13513513513513514,3.027027027027027,112,1.0,37,0.918918918918919,34,7,4.0,,,,,,,76,14,0.04894744398560683,3.720005742906119,0.35526315789473684,1.2645184587928842,1.0,0.09523809523809523,2.9761904761904763,63,1.0952380952380951,23,1.0,0,5,5.6,,,,,,
1,2026,TCU,Big 12,72,10,-0.045868500416522164,-3.302532029989596,0.3333333333333333,1.2161647220811567,0.8,0.19444444444444445,2.4472222222222224,88,0.6666666666666666,24,1.0833333333333333,39,6,1.6666666666666667,,,,,,,58,10,0.1071523441641766,6.214835961522243,0.46551724137931033,0.9192743541669987,0.0,0.14814814814814814,3.425925925925926,93,1.222222222222222,33,0.037037037037037035,0,5,2.6,,,,,,
1,2026,UAB,American Athletic,79,8,0.140459461201907,11.096297434950653,0.4430379746835443,1.2101487372066866,0.75,0.13043478260869565,3.273913043478261,151,0.8913043478260869,41,0.45652173913043476,21,7,2.2857142857142856,,,,,,,44,8,0.5293505291335725,23.29142328187719,0.5681818181818182,1.3542485462010816,0.6,0.23076923076923078,2.976923076923077,77,1.0,26,2.076923076923077,0,4,7.0,,,,,,
1,2026,UCF,Big 12,62,13,0.5473526104058046,33.935861845159884,0.5645161290322581,1.4073587444433087,1.0,0.08108108108108109,4.386486486486486,162,2.027027027027027,75,4.351351351351352,161,10,5.9,,,,,,,62,15,-0.1629071620565535,-10.100244047506317,0.20967741935483872,1.219168347266829,1.0,0.3157894736842105,1.9236842105263159,73,0.9736842105263158,37,0.5263157894736842,0,3,2.3333333333333335,,,,,,
1,2026,UNLV,Mountain West,81,13,0.09147047509478008,7.409108482677186,0.3333333333333333,1.4614148789186645,1.0,0.17647058823529413,2.7529411764705882,94,1.0882352941176472,37,2.764705882352941,94,7,3.0,,,,,,,59,12,0.2880707494141955,16.996174215437534,0.4745762711864407,1.08802993636074,1.0,0.06060606060606061,4.03030303030303,133,1.4545454545454546,48,1.6363636363636365,0,5,4.0,,,,,,
1,2026,USC,Big Ten,77,10,0.39064467803001723,30.07964020831133,0.6623376623376623,0.8805544125995661,0.9,0.10526315789473684,3.6973684210526314,141,1.2894736842105263,49,0.18421052631578946,7,9,4.666666666666667,,,,,,,57,10,0.21639919689445156,12.334754222983738,0.43859649122807015,1.221946227557394,0.0,0.21739130434782608,2.6956521739130435,62,1.2608695652173914,29,0.9565217391304348,0,5,4.8,,,,,,
1,2026,Utah,Big 12,77,13,0.5107474991645495,39.327557435670315,0.5714285714285714,1.3617321828088478,0.75,0.14285714285714285,4.116326530612245,202,1.816326530612245,89,2.122448979591837,104,11,6.0,,,,,,,62,13,0.06319705749781947,3.918217564864807,0.3225806451612903,1.2942375293797448,1.0,0.23333333333333334,0.9433333333333334,28,0.5666666666666667,17,0.6,0,3,4.666666666666667,,,,,,
1,2026,Virginia,ACC,71,12,0.27262204040865434,19.35616486901446,0.4788732394366197,1.0612371845133193,0.8333333333333334,0.14285714285714285,3.305357142857143,185,1.0178571428571428,57,0.7678571428571429,43,7,3.857142857142857,,,,,,,51,12,-0.1438403681738571,-7.335858776866712,0.3137254901960784,0.533800638173952,1.0,0.13636363636363635,3.140909090909091,69,0.8181818181818182,18,0.22727272727272727,0,2,3.5,,,,,,
1,2026,Wake Forest,ACC,68,11,0.47758894733523144,32.476048418795735,0.4264705882352941,1.5275719114401596,0.8,0.15625,3.265625,105,1.15625,37,2.09375,67,7,4.285714285714286,,,,,,,70,11,0.021979307466764512,1.538551522673516,0.5,0.7212615614875549,0.6,0.18181818181818182,3.1333333333333333,103,1.1515151515151516,38,0.8181818181818182,0,3,5.666666666666667,,,,,,
