gameId,date,season,stage,teamId,team,teamAbbrev,isHome,opponentId,opponent,team_score,opp_score,result,team_shootout_score,opp_shootout_score,status,venue,city,attendance,team_foulsCommitted,team_yellowCards,team_redCards,team_offsides,team_wonCorners,team_saves,team_possessionPct,team_totalShots,team_shotsOnTarget,team_shotPct,team_penaltyKickGoals,team_penaltyKickShots,team_accuratePasses,team_totalPasses,team_passPct,team_accurateCrosses,team_totalCrosses,team_crossPct,team_totalLongBalls,team_accurateLongBalls,team_longballPct,team_blockedShots,team_effectiveTackles,team_totalTackles,team_tacklePct,team_interceptions,team_effectiveClearance,team_totalClearance,opp_foulsCommitted,opp_yellowCards,opp_redCards,opp_offsides,opp_wonCorners,opp_saves,opp_possessionPct,opp_totalShots,opp_shotsOnTarget,opp_shotPct,opp_penaltyKickGoals,opp_penaltyKickShots,opp_accuratePasses,opp_totalPasses,opp_passPct,opp_accurateCrosses,opp_totalCrosses,opp_crossPct,opp_totalLongBalls,opp_accurateLongBalls,opp_longballPct,opp_blockedShots,opp_effectiveTackles,opp_totalTackles,opp_tacklePct,opp_interceptions,opp_effectiveClearance,opp_totalClearance
760430,2026-06-16,2026,group-stage,464,Norway,NOR,False,4375,Iraq,4,1,W,,,FT,Gillette Stadium,"Foxborough, Massachusetts",63106,13,0,0,0,5,0,61.3,12,5,0.4,0,0,477,537,0.9,7,17,0.4,42,18,0.4,3,10,15,0.7,2,22,22,12,1,0,1,2,2,38.7,11,1,0.1,0,0,271,334,0.8,6,13,0.5,54,22,0.4,2,13,19,0.7,5,20,20
760430,2026-06-16,2026,group-stage,4375,Iraq,IRQ,True,464,Norway,1,4,L,,,FT,Gillette Stadium,"Foxborough, Massachusetts",63106,12,1,0,1,2,2,38.7,11,1,0.1,0,0,271,334,0.8,6,13,0.5,54,22,0.4,2,13,19,0.7,5,20,20,13,0,0,0,5,0,61.3,12,5,0.4,0,0,477,537,0.9,7,17,0.4,42,18,0.4,3,10,15,0.7,2,22,22
760432,2026-06-16,2026,group-stage,654,Senegal,SEN,False,478,France,1,3,L,,,FT,MetLife Stadium,"East Rutherford, New Jersey",80545,9,0,0,3,4,5,46.6,6,2,0.3,0,0,430,502,0.9,1,9,0.1,49,25,0.5,1,10,14,0.7,8,17,17,5,0,0,1,6,2,53.4,11,8,0.7,0,0,505,575,0.9,0,9,0.0,44,20,0.5,2,14,19,0.7,7,14,14
760432,2026-06-16,2026,group-stage,478,France,FRA,True,654,Senegal,3,1,W,,,FT,MetLife Stadium,"East Rutherford, New Jersey",80545,5,0,0,1,6,2,53.4,11,8,0.7,0,0,505,575,0.9,0,9,0.0,44,20,0.5,2,14,19,0.7,7,14,14,9,0,0,3,4,5,46.6,6,2,0.3,0,0,430,502,0.9,1,9,0.1,49,25,0.5,1,10,14,0.7,8,17,17
760431,2026-06-17,2026,group-stage,2917,Jordan,JOR,False,474,Austria,1,3,L,,,FT,Levi's Stadium,"Santa Clara, California",68527,7,0,0,1,3,1,36.8,11,4,0.4,0,0,241,332,0.7,3,15,0.2,52,23,0.4,2,6,15,0.4,12,39,39,12,1,0,3,4,3,63.2,11,4,0.4,0,1,487,580,0.8,3,17,0.2,47,18,0.4,1,7,17,0.4,15,24,24
760431,2026-06-17,2026,group-stage,474,Austria,AUT,True,2917,Jordan,3,1,W,,,FT,Levi's Stadium,"Santa Clara, California",68527,12,1,0,3,4,3,63.2,11,4,0.4,0,1,487,580,0.8,3,17,0.2,47,18,0.4,1,7,17,0.4,15,24,24,7,0,0,1,3,1,36.8,11,4,0.4,0,0,241,332,0.7,3,15,0.2,52,23,0.4,2,6,15,0.4,12,39,39
760433,2026-06-17,2026,group-stage,624,Algeria,ALG,False,202,Argentina,0,3,L,,,FT,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",69045,8,0,0,1,2,3,52.2,7,1,0.0,0,0,563,609,0.9,1,9,0.1,25,15,0.6,3,10,17,0.6,8,12,12,13,0,0,3,2,0,47.8,10,6,0.6,0,0,504,561,0.9,1,6,0.2,32,17,0.5,1,19,27,0.7,10,17,17
760433,2026-06-17,2026,group-stage,202,Argentina,ARG,True,624,Algeria,3,0,W,,,FT,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",69045,13,0,0,3,2,0,47.8,10,6,0.6,0,0,504,561,0.9,1,6,0.2,32,17,0.5,1,19,27,0.7,10,17,17,8,0,0,1,2,3,52.2,7,1,0.0,0,0,563,609,0.9,1,9,0.1,25,15,0.6,3,10,17,0.6,8,12,12
760434,2026-06-17,2026,group-stage,2659,Panama,PAN,False,4469,Ghana,0,1,L,,,FT,BMO Field,Toronto,42942,11,2,0,1,2,2,62,11,4,0.4,0,0,503,583,0.9,4,21,0.2,70,34,0.5,2,11,29,0.4,5,17,17,9,1,0,4,2,4,38,7,2,0.3,0,0,292,352,0.8,4,16,0.3,52,30,0.6,1,9,16,0.6,8,28,28
760434,2026-06-17,2026,group-stage,4469,Ghana,GHA,True,2659,Panama,1,0,W,,,FT,BMO Field,Toronto,42942,9,1,0,4,2,4,38,7,2,0.3,0,0,292,352,0.8,4,16,0.3,52,30,0.6,1,9,16,0.6,8,28,28,11,2,0,1,2,2,62,11,4,0.4,0,0,503,583,0.9,4,21,0.2,70,34,0.5,2,11,29,0.4,5,17,17
