gameId,date,season,teamId,team,isHome,opponentId,opponent,team_points,opp_points,team_fieldGoalsMade,team_fieldGoalsAttempted,team_freeThrowsMade,team_freeThrowsAttempted,team_threePointsMade,team_threePointsAttempted,team_offensiveRebounds,team_totalRebounds,team_assists,team_turnovers,team_personalFouls,team_steals,team_blockedShots,team_fieldGoalPercentage,team_threePointPercentage,team_freeThrowPercentage,opp_fieldGoalsMade,opp_fieldGoalsAttempted,opp_freeThrowsMade,opp_freeThrowsAttempted,opp_threePointsMade,opp_threePointsAttempted,opp_offensiveRebounds,opp_totalRebounds,opp_assists,opp_turnovers,opp_personalFouls,opp_steals,opp_blockedShots,opp_fieldGoalPercentage,opp_threePointPercentage,opp_freeThrowPercentage
6516801,2026-01-01,2026,2008,Stanford,False,1276,NC State,46,74,18,60,6,10,4,23,12,35,5,21,19,7,1,30.0%,17.4%,60.0%,28,60,14,17,4,9,11,42,12,16,11,9,8,46.7%,44.4%,82.3%
6516877,2026-01-01,2026,1405,Utah Tech,True,811,Abilene Christian,51,81,19,60,8,16,5,20,11,38,12,20,9,2,2,31.7%,25.0%,50.0%,33,72,7,8,8,30,10,45,19,10,18,13,6,45.8%,26.7%,87.5%
6516877,2026-01-01,2026,811,Abilene Christian,False,1405,Utah Tech,81,51,33,72,7,8,8,30,10,45,19,10,18,13,6,45.8%,26.7%,87.5%,19,60,8,16,5,20,11,38,12,20,9,2,2,31.7%,25.0%,50.0%
6516892,2026-01-01,2026,2200,Ole Miss,True,1805,Georgia,79,62,25,62,24,28,5,21,14,41,16,10,18,6,3,40.3%,23.8%,85.7%,26,55,7,11,3,12,5,29,13,16,24,4,5,47.3%,25.0%,63.6%
6516892,2026-01-01,2026,1805,Georgia,False,2200,Ole Miss,62,79,26,55,7,11,3,12,5,29,13,16,24,4,5,47.3%,25.0%,63.6%,25,62,24,28,5,21,14,41,16,10,18,6,3,40.3%,23.8%,85.7%
6516925,2026-01-01,2026,1279,Northern Ariz.,True,1617,Montana,81,72,31,60,8,12,11,21,9,39,25,14,14,5,0,51.7%,52.4%,66.7%,27,57,11,18,7,32,3,26,11,10,16,6,0,47.4%,21.9%,61.1%
6516925,2026-01-01,2026,1617,Montana,False,1279,Northern Ariz.,72,81,27,57,11,18,7,32,3,26,11,10,16,6,0,47.4%,21.9%,61.1%,31,60,8,12,11,21,9,39,25,14,14,5,0,51.7%,52.4%,66.7%
6516999,2026-01-01,2026,1186,Bellarmine,True,694,Queens (NC),46,58,16,52,10,14,4,13,11,37,10,17,23,3,3,30.8%,30.8%,71.4%,18,57,15,23,7,16,18,44,9,16,17,4,5,31.6%,43.8%,65.2%
6516999,2026-01-01,2026,694,Queens (NC),False,1186,Bellarmine,58,46,18,57,15,23,7,16,18,44,9,16,17,4,5,31.6%,43.8%,65.2%,16,52,10,14,4,13,11,37,10,17,23,3,3,30.8%,30.8%,71.4%
6517024,2026-01-01,2026,96,UMBC,True,1953,NJIT,75,80,28,68,12,20,7,13,18,35,11,7,17,6,1,41.2%,53.8%,60.0%,30,58,17,22,3,17,11,39,10,11,18,4,4,51.7%,17.6%,77.3%
