id,season,week,season_type,start_date,completed,neutral_site,conference_game,venue_id,venue,home_id,home_team,home_conference,home_points,away_id,away_team,away_conference,away_points
401426554,2022,3,,,1,,,,Center Parc Stadium,,,,,,,,
401415032,2022,3,,,1,,,,M. M. Roberts Stadium,,,,,,,,
401403881,2022,3,,,1,,,,Razorback Stadium,,,,,,,,
401405088,2022,3,,,1,,,,Ohio Stadium,,,,,,,,
401426559,2022,3,,,1,,,,Rice Stadium,,,,,,,,
401411110,2022,3,,,1,,,,"Alumni Stadium (Chestnut Hill, MA)",,,,,,,,
401411115,2022,3,,,1,,,,Waldo Stadium,,,,,,,,
401405087,2022,3,,,1,,,,SECU Stadium,,,,,,,,
401405082,2022,3,,,1,,,,Kinnick Stadium,,,,,,,,
401426555,2022,3,,,1,,,,FAU Stadium,,,,,,,,
401403994,2022,3,,,1,,,,Husky Stadium,,,,,,,,
401403883,2022,3,,,1,,,,Ben Hill Griffin Stadium,,,,,,,,
401426556,2022,3,,,1,,,,"Memorial Stadium (Clemson, SC)",,,,,,,,
401426561,2022,3,,,1,,,,University Stadium (NM),,,,,,,,
401403990,2022,3,,,1,,,,Providence Park,,,,,,,,
401426562,2022,3,,,1,,,,DKR-Texas Memorial Stadium,,,,,,,,
401403890,2022,3,,,1,,,,Kyle Field,,,,,,,,
401403993,2022,3,,,1,,,,Rice-Eccles Stadium,,,,,,,,
401403992,2022,3,,,1,,,,Los Angeles Memorial Coliseum,,,,,,,,
401403985,2022,3,,,1,,,,Arizona Stadium,,,,,,,,
401403986,2022,3,,,1,,,,Mountain America Stadium,,,,,,,,
401415219,2022,3,,,1,,,,Clarence T.C. Ching Athletics Complex,,,,,,,,
401426334,2022,4,,,1,,,,Center Parc Stadium,,,,,,,,
401411116,2022,4,,,1,,,,Lane Stadium,,,,,,,,
401421129,2022,4,,,1,,,,"Memorial Stadium (Champaign, IL)",,,,,,,,
401411117,2022,4,,,1,,,,JMA Wireless Dome,,,,,,,,
401415220,2022,4,,,1,,,,Falcon Stadium,,,,,,,,
401426571,2022,4,,,1,,,,Sun Bowl,,,,,,,,
401404079,2022,4,,,1,,,,Memorial Stadium,,,,,,,,
401405098,2022,4,,,1,,,,Beaver Stadium,,,,,,,,
401405097,2022,4,,,1,,,,Michigan Stadium,,,,,,,,
401403899,2022,4,,,1,,,,Davis Wade Stadium,,,,,,,,
401403894,2022,4,,,1,,,,Jordan-Hare Stadium,,,,,,,,
401404080,2022,4,,,1,,,,Jack Trice Stadium,,,,,,,,
401416604,2022,4,,,1,,,,Rynearson Stadium,,,,,,,,
401411121,2022,4,,,1,,,,Acrisure Stadium,,,,,,,,
401411123,2022,4,,,1,,,,Allegacy Federal Credit Union Stadium,,,,,,,,
401404078,2022,4,,,1,,,,Gerald J. Ford Stadium,,,,,,,,
401403895,2022,4,,,1,,,,Sanford Stadium,,,,,,,,
401411119,2022,4,,,1,,,,L&N Federal Credit Union Stadium,,,,,,,,
401403998,2022,4,,,1,,,,Folsom Field,,,,,,,,
401416606,2022,4,,,1,,,,Peden Stadium,,,,,,,,
401414781,2022,4,,,1,,,,Lincoln Financial Field,,,,,,,,
401404126,2022,4,,,1,,,,Kenan Stadium,,,,,,,,
401405096,2022,4,,,1,,,,Nippert Stadium,,,,,,,,
401426572,2022,4,,,1,,,,Alamodome,,,,,,,,
401415224,2022,4,,,1,,,,Snapdragon Stadium,,,,,,,,
401415037,2022,4,,,1,,,,Kidd Brewer Stadium,,,,,,,,
401426565,2022,4,,,1,,,,Houchens Industries-L.T. Smith Stadium,,,,,,,,
401426569,2022,4,,,1,,,,Simmons Bank Liberty Stadium,,,,,,,,
401403901,2022,4,,,1,,,,Neyland Stadium,,,,,,,,
401405092,2022,4,,,1,,,,Spartan Stadium,,,,,,,,
401404082,2022,4,,,1,,,,Jones AT&T Stadium,,,,,,,,
401426568,2022,4,,,1,,,,Hard Rock Stadium,,,,,,,,
401415221,2022,4,,,1,,,,Canvas Stadium,,,,,,,,
401403898,2022,4,,,1,,,,Vaught-Hemingway Stadium,,,,,,,,
401403999,2022,4,,,1,,,,Gesa Field,,,,,,,,
401411122,2022,4,,,1,,,,FBC Mortgage Stadium,,,,,,,,
401403996,2022,4,,,1,,,,California Memorial Stadium,,,,,,,,
401415624,2022,4,,,1,,,,Dowdy-Ficklen Stadium,,,,,,,,
401426570,2022,4,,,1,,,,TDECU Stadium,,,,,,,,
401416605,2022,4,,,1,,,,Allen E. Paulson Stadium,,,,,,,,
401426335,2022,4,,,1,,,,S.B. Ballard Stadium,,,,,,,,
401404160,2022,4,,,1,,,,Williams Stadium (VA),,,,,,,,
401415040,2022,4,,,1,,,,Yulman Stadium,,,,,,,,
401403896,2022,4,,,1,,,,Kroger Field,,,,,,,,
401426567,2022,4,,,1,,,,Hancock Whitney Stadium,,,,,,,,
401418793,2022,4,,,1,,,,Bobcat Stadium (TX),,,,,,,,
401426393,2022,4,,,1,,,,Veterans Memorial Stadium (AL),,,,,,,,
401403893,2022,4,,,1,,,,AT&T Stadium,,,,,,,,
401415222,2022,4,,,1,,,,Maverik Stadium,,,,,,,,
401405091,2022,4,,,1,,,,SHI Stadium,,,,,,,,
401405095,2022,4,,,1,,,,Ohio Stadium,,,,,,,,
401403897,2022,4,,,1,,,,Tiger Stadium (LA),,,,,,,,
401403892,2022,4,,,1,,,,Bryant-Denny Stadium,,,,,,,,
401426566,2022,4,,,1,,,,Ross-Ade Stadium,,,,,,,,
401405093,2022,4,,,1,,,,Ryan Field,,,,,,,,
401404150,2022,4,,,1,,,,Carter-Finley Stadium,,,,,,,,
401426564,2022,4,,,1,,,,Williams-Brice Stadium,,,,,,,,
401411118,2022,4,,,1,,,,Doak Campbell Stadium,,,,,,,,
401426336,2022,4,,,1,,,,Malone Stadium,,,,,,,,
401404081,2022,4,,,1,,,,"Memorial Stadium (Norman, OK)",,,,,,,,
401409237,2022,4,,,1,,,,Aggie Memorial Stadium,,,,,,,,
401404000,2022,4,,,1,,,,Reser Stadium,,,,,,,,
401415223,2022,4,,,1,,,,LaVell Edwards Stadium,,,,,,,,
401415225,2022,4,,,1,,,,CEFCU Stadium,,,,,,,,
401403997,2022,4,,,1,,,,Mountain America Stadium,,,,,,,,
401404001,2022,4,,,1,,,,Husky Stadium,,,,,,,,
401403908,2022,5,,,1,,,,Williams-Brice Stadium,,,,,,,,
401415226,2022,5,,,1,,,,LaVell Edwards Stadium,,,,,,,,
401415625,2022,5,,,1,,,,TDECU Stadium,,,,,,,,
401426576,2022,5,,,1,,,,"Johnny ""Red"" Floyd Stadium",,,,,,,,
401415228,2022,5,,,1,,,,Albertsons Stadium,,,,,,,,
401404007,2022,5,,,1,,,,Rose Bowl,,,,,,,,
401415229,2022,5,,,1,,,,Allegiant Stadium,,,,,,,,
401404085,2022,5,,,1,,,,Bill Snyder Family Stadium,,,,,,,,
401415628,2022,5,,,1,,,,Simmons Bank Liberty Stadium,,,,,,,,
401405100,2022,5,,,1,,,,Kinnick Stadium,,,,,,,,
401405101,2022,5,,,1,,,,Huntington Bank Stadium,,,,,,,,
401405099,2022,5,,,1,,,,Camp Randall Stadium,,,,,,,,
401403905,2022,5,,,1,,,,Vaught-Hemingway Stadium,,,,,,,,
401404137,2022,5,,,1,,,,Michie Stadium,,,,,,,,
401415227,2022,5,,,1,,,,Falcon Stadium,,,,,,,,
401411124,2022,5,,,1,,,,"Alumni Stadium (Chestnut Hill, MA)",,,,,,,,
401404086,2022,5,,,1,,,,Amon G. Carter Stadium,,,,,,,,
401426338,2022,5,,,1,,,,Bridgeforth Stadium,,,,,,,,
401404006,2022,5,,,1,,,,Rice-Eccles Stadium,,,,,,,,
401414782,2022,5,,,1,,,,Rynearson Stadium,,,,,,,,
401416608,2022,5,,,1,,,,Scheumann Stadium,,,,,,,,
401415626,2022,5,,,1,,,,FAU Stadium,,,,,,,,
401416609,2022,5,,,1,,,,InfoCision Stadium,,,,,,,,
401416611,2022,5,,,1,,,,Dix Stadium,,,,,,,,
401411128,2022,5,,,1,,,,Kenan Stadium,,,,,,,,
401416607,2022,5,,,1,,,,Glass Bowl,,,,,,,,
401404083,2022,5,,,1,,,,McLane Stadium,,,,,,,,
401426339,2022,5,,,1,,,,Joan C. Edwards Stadium,,,,,,,,
401404084,2022,5,,,1,,,,Memorial Stadium,,,,,,,,
